,lat,lon,radiative_,sat,acqdate,acqtime,sensor,state,district
8,30.624,76.483,14.6,mod,2023-10-31,13:M3:47,A,PB,FATEHGARH SAHIB
9,30.617,76.471,18.0,mod,2023-10-31,13:M3:47,A,PB,FATEHGARH SAHIB
10,30.822,76.287,19.4,mod,2023-10-31,13:M3:47,A,PB,FATEHGARH SAHIB
11,30.314,75.958,37.0,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
12,30.62,76.463,16.7,mod,2023-10-31,13:M3:47,A,PB,FATEHGARH SAHIB
13,30.253,75.661,21.4,mod,2023-10-31,13:M3:47,A,PB,BARNALA
14,30.472,75.752,12.8,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
15,30.279,75.597,14.0,mod,2023-10-31,13:M3:47,A,PB,BARNALA
16,30.277,75.579,13.8,mod,2023-10-31,13:M3:47,A,PB,BARNALA
17,30.879,74.573,68.6,mod,2023-10-31,13:M3:47,A,PB,FIROZPUR
18,31.169,74.887,20.4,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
19,31.035,75.328,17.8,mod,2023-10-31,13:M3:47,A,PB,JALANDHAR
20,31.021,75.312,13.9,mod,2023-10-31,13:M3:47,A,PB,JALANDHAR
21,31.026,75.336,17.2,mod,2023-10-31,13:M3:47,A,PB,JALANDHAR
22,31.204,74.983,18.0,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
23,31.735,75.101,21.7,mod,2023-10-31,13:M3:47,A,PB,AMRITSAR
24,31.739,75.105,18.6,mod,2023-10-31,13:M3:47,A,PB,AMRITSAR
25,31.318,74.777,16.5,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
26,30.35,74.989,32.4,mod,2023-10-31,13:M3:47,A,PB,BATHINDA
27,30.866,74.912,22.8,mod,2023-10-31,13:M3:47,A,PB,FIROZPUR
28,30.87,74.572,99.8,mod,2023-10-31,13:M3:47,A,PB,FIROZPUR
29,31.222,75.004,17.0,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
30,30.046,76.143,17.6,mod,2023-10-31,13:M3:47,A,PB,PATIALA
31,30.339,75.753,47.1,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
32,31.049,74.764,20.7,mod,2023-10-31,13:M3:47,A,PB,FIROZPUR
33,31.162,74.893,19.2,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
34,30.237,76.101,17.4,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
35,31.29,74.648,16.9,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
36,31.311,74.783,17.5,mod,2023-10-31,13:M3:47,A,PB,TARN TARAN
37,29.737,75.939,29.0,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
38,29.88,75.916,17.0,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
39,29.832,75.827,28.3,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
41,30.442,76.594,19.8,mod,2023-10-31,13:M3:47,A,PB,PATIALA
42,30.526,76.21,22.9,mod,2023-10-31,13:M3:47,A,PB,PATIALA
43,30.18,76.284,25.6,mod,2023-10-31,13:M3:47,A,PB,PATIALA
44,30.335,76.713,15.1,mod,2023-10-31,13:M3:47,A,PB,PATIALA
46,29.909,76.0,16.8,mod,2023-10-31,13:M3:47,A,PB,PATIALA
47,30.875,74.396,25.8,mod,2023-10-31,13:M3:47,A,PB,FIROZPUR
49,29.901,75.633,43.8,mod,2023-10-31,13:M3:47,A,PB,MANSA
50,30.309,75.936,41.4,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
51,29.949,75.738,24.0,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
53,30.672,76.47,13.5,mod,2023-10-31,13:M3:47,A,PB,FATEHGARH SAHIB
54,30.343,75.776,19.2,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
55,31.032,75.749,14.7,mod,2023-10-31,13:M3:47,A,PB,JALANDHAR
56,30.753,74.792,18.8,mod,2023-10-31,13:M3:47,A,PB,FARIDKOT
57,29.76,75.925,34.5,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
58,30.7,74.519,46.7,mod,2023-10-31,13:M3:47,A,PB,FARIDKOT
59,30.016,75.487,16.0,mod,2023-10-31,13:M3:47,A,PB,MANSA
60,32.064,75.259,28.1,mod,2023-10-31,13:M3:47,A,PB,GURDASPUR
61,29.877,75.912,23.3,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
62,29.762,75.932,27.3,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
63,32.066,75.265,21.6,mod,2023-10-31,13:M3:47,A,PB,GURDASPUR
64,29.906,75.657,17.1,mod,2023-10-31,13:M3:47,A,PB,MANSA
65,31.631,75.488,19.6,mod,2023-10-31,13:M3:47,A,PB,KAPURTHALA
67,29.837,75.145,21.4,mod,2023-10-31,13:M3:47,A,PB,BATHINDA
68,29.903,75.708,25.1,mod,2023-10-31,13:M3:47,A,PB,MANSA
69,30.698,75.373,24.1,mod,2023-10-31,13:M3:47,A,PB,LUDHIANA
70,30.904,75.527,15.2,mod,2023-10-31,13:M3:47,A,PB,LUDHIANA
71,30.728,75.203,22.3,mod,2023-10-31,13:M3:47,A,PB,MOGA
72,30.733,75.209,17.5,mod,2023-10-31,13:M3:47,A,PB,MOGA
73,29.835,75.831,30.6,mod,2023-10-31,13:M3:47,A,PB,SANGRUR
74,30.866,75.592,37.0,mod,2023-10-31,13:M3:47,A,PB,LUDHIANA
