lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
28.0,77.683,319.8,1.2,1.1,57.0,9.5,mod,2023-10-03,13:M3:45,013912,A,UP,,,,3104828,,1,2023-10-03,POINT (77.68299865722656 28)
27.954,79.789,314.6,1.0,1.0,53.0,5.2,mod,2023-10-03,13:M3:45,013912,A,UP,,,,3104827,,1,2023-10-03,POINT (79.78900146484375 27.95400047302246)
28.777,77.569,316.1,1.2,1.1,44.0,7.9,mod,2023-10-03,13:M3:45,013912,A,UP,,,,3104830,,1,2023-10-03,POINT (77.56900024414062 28.77700042724609)
29.109,76.859,321.9,1.3,1.1,67.0,18.8,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104831,1.0,1,2023-10-03,POINT (76.85900115966797 29.10899925231934)
31.678,74.811,314.9,1.5,1.2,59.0,10.7,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104851,1.0,1,2023-10-03,POINT (74.81099700927734 31.67799949645996)
31.703,74.947,318.8,1.5,1.2,69.0,13.5,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104825,1.0,1,2023-10-03,POINT (74.94699859619141 31.70299911499023)
30.308,77.188,315.0,1.2,1.1,65.0,6.7,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104837,1.0,1,2023-10-03,POINT (77.18800354003906 30.3080005645752)
30.048,77.115,317.6,1.2,1.1,58.0,8.7,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104834,1.0,1,2023-10-03,POINT (77.11499786376953 30.04800033569336)
30.039,77.118,324.4,1.2,1.1,77.0,17.5,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104833,1.0,1,2023-10-03,POINT (77.11799621582031 30.03899955749512)
29.289,76.884,314.9,1.2,1.1,34.0,7.2,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104832,1.0,1,2023-10-03,POINT (76.88400268554688 29.28899955749512)
30.569,75.881,312.8,1.3,1.2,56.0,8.4,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104838,1.0,1,2023-10-03,POINT (75.88099670410156 30.56900024414062)
30.31,77.2,316.7,1.2,1.1,69.0,8.6,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104836,1.0,1,2023-10-03,POINT (77.19999694824219 30.30999946594238)
31.502,75.164,321.2,1.4,1.2,73.0,19.8,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104816,1.0,1,2023-10-03,POINT (75.16400146484375 31.50200080871582)
31.505,75.179,312.6,1.4,1.2,54.0,7.4,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104850,1.0,1,2023-10-03,POINT (75.17900085449219 31.5049991607666)
31.372,75.117,318.5,1.4,1.2,69.0,16.0,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104844,1.0,1,2023-10-03,POINT (75.11699676513672 31.37199974060059)
30.13,76.857,315.2,1.2,1.1,63.0,7.7,mod,2023-10-03,13:M3:45,013912,A,HR,,,,3104835,1.0,1,2023-10-03,POINT (76.85700225830078 30.1299991607666)
31.413,75.07,317.0,1.4,1.2,66.0,12.6,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104845,1.0,1,2023-10-03,POINT (75.06999969482422 31.41300010681152)
31.488,75.091,317.4,1.4,1.2,67.0,12.4,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104817,1.0,1,2023-10-03,POINT (75.09100341796875 31.48800086975098)
31.788,74.966,313.3,1.4,1.2,55.0,8.1,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104852,1.0,1,2023-10-03,POINT (74.96600341796875 31.78800010681152)
31.785,74.951,317.6,1.4,1.2,67.0,14.4,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104853,1.0,1,2023-10-03,POINT (74.95099639892578 31.78499984741211)
31.517,75.068,315.4,1.4,1.2,56.0,9.0,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104818,1.0,1,2023-10-03,POINT (75.06800079345703 31.51700019836426)
31.576,75.063,319.0,1.4,1.2,70.0,13.3,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104820,1.0,1,2023-10-03,POINT (75.06300354003906 31.57600021362305)
31.592,75.151,316.8,1.4,1.2,62.0,9.8,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104819,1.0,1,2023-10-03,POINT (75.1510009765625 31.59199905395508)
31.604,75.041,317.8,1.4,1.2,67.0,11.8,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104821,1.0,1,2023-10-03,POINT (75.04100036621094 31.60400009155273)
31.602,75.026,316.3,1.4,1.2,64.0,9.5,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104822,1.0,1,2023-10-03,POINT (75.0260009765625 31.60199928283691)
31.454,75.06,312.7,1.4,1.2,52.0,8.3,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104849,1.0,1,2023-10-03,POINT (75.05999755859375 31.45400047302246)
31.673,75.14,315.1,1.4,1.2,59.0,8.2,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104823,1.0,1,2023-10-03,POINT (75.13999938964844 31.67300033569336)
31.706,75.024,317.4,1.4,1.2,62.0,10.4,mod,2023-10-03,13:M3:45,013912,A,PB,,,,3104824,1.0,1,2023-10-03,POINT (75.02400207519531 31.70599937438965)
