lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
29.075,77.005,308.1,1.2,1.1,51.0,6.2,mod,2022-12-13,13:M2:04,009628,A,HR,,,,2699029,1.0,1,2022-12-13,POINT (77.00499725341797 29.07500076293945)
25.548,83.642,310.6,1.2,1.1,45.0,5.3,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699158,,1,2022-12-13,POINT (83.64199829101562 25.54800033569336)
25.304,83.513,320.7,1.1,1.1,76.0,14.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699142,,1,2022-12-13,POINT (83.51300048828125 25.30400085449219)
25.453,83.698,316.0,1.2,1.1,70.0,10.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699155,,1,2022-12-13,POINT (83.697998046875 25.45299911499023)
25.218,83.289,315.6,1.1,1.1,70.0,9.2,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699134,,1,2022-12-13,POINT (83.28900146484375 25.2180004119873)
28.288,80.232,311.9,1.0,1.0,68.0,8.7,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699022,,1,2022-12-13,POINT (80.23200225830078 28.28800010681152)
25.755,80.823,314.8,1.0,1.0,66.0,7.7,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699161,,1,2022-12-13,POINT (80.822998046875 25.7549991607666)
29.239,75.699,327.4,1.4,1.2,82.0,35.9,mod,2022-12-13,13:M2:04,009628,A,HR,,,,2699041,,1,2022-12-13,POINT (75.69899749755859 29.23900032043457)
28.563,79.778,310.4,1.0,1.0,64.0,6.4,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699025,,1,2022-12-13,POINT (79.77799987792969 28.5629997253418)
28.869,78.415,305.2,1.5,1.2,57.0,8.1,mod,2022-12-13,11:M2:14,022266,T,UP,,,,2698677,,1,2022-12-14,POINT (78.41500091552734 28.86899948120117)
25.097,83.332,315.2,1.1,1.1,69.0,8.4,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699118,,1,2022-12-13,POINT (83.33200073242188 25.09700012207031)
25.356,83.351,314.8,1.1,1.1,68.0,7.7,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699151,,1,2022-12-13,POINT (83.35099792480469 25.35600090026855)
27.259,75.512,310.8,1.1,1.0,60.0,6.9,mod,2022-12-13,11:M2:14,022266,T,RJ,,,,2698640,,1,2022-12-14,POINT (75.51200103759766 27.25900077819824)
25.355,83.34,313.7,1.1,1.1,66.0,6.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699152,,1,2022-12-13,POINT (83.33999633789062 25.35499954223633)
28.003,77.303,304.4,1.3,1.1,51.0,6.4,mod,2022-12-13,11:M2:14,022266,T,HR,,,,2698680,,1,2022-12-14,POINT (77.30300140380859 28.00300025939941)
29.451,76.859,318.9,1.2,1.1,75.0,17.0,mod,2022-12-13,13:M2:04,009628,A,HR,,,,2699031,,1,2022-12-13,POINT (76.85900115966797 29.45100021362305)
25.923,81.879,320.7,1.0,1.0,75.0,13.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699162,,1,2022-12-13,POINT (81.87899780273438 25.92300033569336)
25.416,83.403,318.1,1.1,1.1,72.0,10.9,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699156,,1,2022-12-13,POINT (83.40299987792969 25.41600036621094)
27.645,80.38,314.5,1.0,1.0,69.0,9.4,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699017,,1,2022-12-13,POINT (80.37999725341797 27.64500045776367)
25.715,83.859,314.3,1.2,1.1,67.0,8.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699159,,1,2022-12-13,POINT (83.85900115966797 25.71500015258789)
26.857,75.769,307.4,1.1,1.1,42.0,4.5,mod,2022-12-13,11:M2:14,022266,T,RJ,,,,2698641,,1,2022-12-14,POINT (75.76899719238281 26.85700035095215)
27.931,81.496,307.5,1.0,1.0,58.0,3.8,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699018,,1,2022-12-13,POINT (81.49600219726562 27.93099975585938)
28.412,79.944,310.0,1.0,1.0,64.0,7.0,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699023,,1,2022-12-13,POINT (79.94400024414062 28.41200065612793)
25.148,83.306,313.9,1.1,1.1,67.0,6.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699128,,1,2022-12-13,POINT (83.30599975585938 25.14800071716309)
25.752,80.924,314.4,1.0,1.0,45.0,6.9,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699160,,1,2022-12-13,POINT (80.92400360107422 25.75200080871582)
26.09,79.6,309.8,1.0,1.0,50.0,4.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699166,,1,2022-12-13,POINT (79.59999847412109 26.09000015258789)
25.285,83.436,316.3,1.1,1.1,71.0,10.7,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699139,,1,2022-12-13,POINT (83.43599700927734 25.28499984741211)
29.743,77.25,304.8,1.2,1.1,59.0,6.3,mod,2022-12-13,11:M2:14,022266,T,UP,,,,2698672,,1,2022-12-14,POINT (77.25 29.74300003051758)
27.938,80.811,310.0,1.0,1.0,63.0,5.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699020,,1,2022-12-13,POINT (80.81099700927734 27.9379997253418)
25.298,83.348,314.8,1.1,1.1,68.0,8.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699144,,1,2022-12-13,POINT (83.34799957275391 25.29800033569336)
25.396,83.435,311.8,1.1,1.1,38.0,4.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699153,,1,2022-12-13,POINT (83.43499755859375 25.39599990844727)
25.365,83.566,314.1,1.2,1.1,67.0,8.6,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699150,,1,2022-12-13,POINT (83.56600189208984 25.36499977111816)
26.285,82.381,313.0,1.1,1.0,59.0,5.9,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699163,,1,2022-12-13,POINT (82.38099670410156 26.28499984741211)
26.059,79.945,318.7,1.0,1.0,72.0,11.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699164,,1,2022-12-13,POINT (79.94499969482422 26.05900001525879)
29.133,77.349,309.2,1.2,1.1,59.0,6.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699028,,1,2022-12-13,POINT (77.3489990234375 29.13299942016602)
25.276,83.37,312.4,1.1,1.1,64.0,6.8,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699140,,1,2022-12-13,POINT (83.37000274658203 25.27599906921387)
26.632,81.813,311.0,1.0,1.0,55.0,5.1,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699170,,1,2022-12-13,POINT (81.81300354003906 26.63199996948242)
25.122,83.332,323.2,1.1,1.1,79.0,16.7,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699121,,1,2022-12-13,POINT (83.33200073242188 25.12199974060059)
29.453,76.872,316.2,1.2,1.1,72.0,13.7,mod,2022-12-13,13:M2:04,009628,A,HR,,,,2699030,,1,2022-12-13,POINT (76.87200164794922 29.45299911499023)
27.721,81.635,311.7,1.0,1.0,66.0,6.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699174,,1,2022-12-13,POINT (81.63500213623047 27.72100067138672)
25.366,83.577,313.9,1.2,1.1,67.0,8.3,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699149,,1,2022-12-13,POINT (83.57700347900391 25.36599922180176)
25.277,83.302,317.2,1.1,1.1,72.0,10.5,mod,2022-12-13,13:M2:04,009628,A,UP,,,,2699143,,1,2022-12-13,POINT (83.302001953125 25.27700042724609)
29.236,75.685,338.6,1.4,1.2,90.0,62.2,mod,2022-12-13,13:M2:04,009628,A,HR,,,,2699042,1.0,1,2022-12-13,POINT (75.68499755859375 29.23600006103516)
31.454,75.607,303.7,1.0,1.0,57.0,4.5,mod,2022-12-13,11:M2:14,022266,T,PB,,,,2698654,1.0,1,2022-12-14,POINT (75.60700225830078 31.45400047302246)
31.186,76.078,303.5,1.1,1.0,56.0,4.3,mod,2022-12-13,11:M2:14,022266,T,PB,,,,2698659,1.0,1,2022-12-14,POINT (76.0780029296875 31.18600082397461)
31.263,75.708,303.7,1.0,1.0,56.0,3.9,mod,2022-12-13,11:M2:14,022266,T,PB,,,,2698658,1.0,1,2022-12-14,POINT (75.70800018310547 31.26300048828125)
31.816,75.622,305.2,1.3,1.1,61.0,6.2,mod,2022-12-13,13:M2:04,009628,A,PB,,,,2699036,1.0,1,2022-12-13,POINT (75.62200164794922 31.81599998474121)
28.999,76.149,311.3,1.1,1.1,65.0,9.3,mod,2022-12-13,11:M2:14,022266,T,HR,,,,2698678,1.0,1,2022-12-14,POINT (76.14900207519531 28.99900054931641)
28.97803,76.62212,305.1,0.5,0.7,8.0,0.9,npp,2022-12-13,01:M2:09,057649,VF375,HR,,,,2698318,1.0,1,2022-12-13,POINT (76.62212371826172 28.97802925109863)
28.97438,76.62291,316.2,0.5,0.7,8.0,1.9,npp,2022-12-13,03:M2:43,057650,VF375,HR,,,,2698584,1.0,1,2022-12-13,POINT (76.62290954589844 28.97438049316406)
29.45482,76.86298,315.1,0.5,0.7,8.0,3.0,npp,2022-12-13,01:M2:09,057649,VF375,HR,,,,2698314,,1,2022-12-13,POINT (76.86298370361328 29.45482063293457)
28.25143,80.7795,339.0,0.8,0.8,8.0,7.4,npp,2022-12-13,14:M2:26,057657,VF375,UP,,,,2699202,,1,2022-12-13,POINT (80.77950286865234 28.25143051147461)
28.47601,80.54118,327.4,0.3,0.6,8.0,1.3,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698981,,1,2022-12-13,POINT (80.54118347167969 28.47600936889648)
28.62944,79.88982,333.0,0.4,0.6,8.0,1.7,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698983,,1,2022-12-13,POINT (79.88981628417969 28.62944030761719)
25.14233,83.2396,333.2,0.5,0.5,8.0,4.0,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698893,,1,2022-12-13,POINT (83.23960113525391 25.14233016967773)
28.14578,80.41855,327.9,0.3,0.6,8.0,1.6,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698966,,1,2022-12-13,POINT (80.41854858398438 28.14578056335449)
28.17126,80.26723,326.6,0.4,0.6,8.0,1.9,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698970,,1,2022-12-13,POINT (80.26722717285156 28.17126083374023)
29.45847,76.87428,328.4,0.5,0.7,8.0,11.9,npp,2022-12-13,03:M2:43,057650,VF375,HR,,,,2698580,,1,2022-12-13,POINT (76.87428283691406 29.45846939086914)
28.32398,79.63201,325.3,0.4,0.6,8.0,1.5,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698982,,1,2022-12-13,POINT (79.63201141357422 28.3239803314209)
29.29431,77.39892,330.9,0.5,0.7,8.0,2.2,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2699001,,1,2022-12-13,POINT (77.39891815185547 29.29430961608887)
28.49196,80.39614,340.9,0.7,0.8,8.0,5.2,npp,2022-12-13,14:M2:26,057657,VF375,UP,,,,2699203,,1,2022-12-13,POINT (80.39614105224609 28.4919605255127)
28.56068,79.5333,329.8,0.4,0.6,8.0,1.7,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698984,,1,2022-12-13,POINT (79.53330230712891 28.5606803894043)
29.4609,76.86467,313.0,0.5,0.7,8.0,8.8,npp,2022-12-13,03:M2:43,057650,VF375,HR,,,,2698576,,1,2022-12-13,POINT (76.86466979980469 29.46089935302734)
28.32138,81.04755,330.7,0.6,0.6,8.0,3.9,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698969,,1,2022-12-13,POINT (81.04754638671875 28.32138061523438)
25.3309,83.456,334.9,0.5,0.5,8.0,4.1,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698919,,1,2022-12-13,POINT (83.45600128173828 25.33090019226074)
28.78558,79.43503,325.9,0.4,0.6,8.0,6.8,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698988,,1,2022-12-13,POINT (79.43502807617188 28.78557968139648)
27.46375,79.38763,329.3,0.4,0.6,8.0,2.3,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698959,,1,2022-12-13,POINT (79.38762664794922 27.4637508392334)
29.03997,77.61897,327.3,0.5,0.7,8.0,3.5,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698994,,1,2022-12-13,POINT (77.61897277832031 29.03997039794922)
25.30263,83.32006,338.6,0.5,0.5,8.0,4.0,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698922,,1,2022-12-13,POINT (83.32006072998047 25.3026294708252)
25.11536,83.32801,336.0,0.5,0.5,8.0,6.9,npp,2022-12-13,12:M2:08,057656,VF375,UP,,,,2698888,,1,2022-12-13,POINT (83.32801055908203 25.11536026000977)
