lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
25.672,80.323,322.5,1.2,1.1,79.0,19.9,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293557,,1,2024-02-15,POINT (80.322998046875 25.67200088500977)
27.829,80.791,303.9,1.0,1.0,55.0,4.0,mod,2024-02-15,10:14:50,028522,T,UP,,,,3293468,,1,2024-02-15,POINT (80.79100036621094 27.82900047302246)
27.761,80.135,309.5,1.1,1.1,59.0,6.0,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293581,,1,2024-02-15,POINT (80.13500213623047 27.76099967956543)
28.221,80.168,311.8,1.1,1.0,67.0,8.6,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293586,,1,2024-02-15,POINT (80.16799926757812 28.22100067138672)
25.943,79.662,313.5,1.2,1.1,67.0,10.2,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293561,,1,2024-02-15,POINT (79.66200256347656 25.94300079345703)
26.909,80.194,312.9,1.1,1.1,56.0,8.6,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293571,,1,2024-02-15,POINT (80.19400024414062 26.90900039672852)
26.762,80.073,337.3,1.2,1.1,89.0,40.9,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293566,,1,2024-02-15,POINT (80.072998046875 26.76199913024902)
25.674,80.334,310.8,1.2,1.1,58.0,7.1,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293556,,1,2024-02-15,POINT (80.33399963378906 25.67399978637695)
28.011,79.96,308.2,1.1,1.1,56.0,5.3,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293582,,1,2024-02-15,POINT (79.95999908447266 28.01099967956543)
28.567,80.425,316.0,1.1,1.0,73.0,11.0,mod,2024-02-15,13:42:17,015880,A,UP,,,,3293588,,1,2024-02-15,POINT (80.42500305175781 28.5669994354248)
