lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
30.212,77.475,313.7,1.1,1.0,72.0,10.3,mod,2021-11-27,13:26:26,004074,A,HR,,,,2225868,,1,2021-11-27,POINT (77.47499847412109 30.21199989318848)
29.622,74.379,320.4,1.5,1.2,72.0,21.5,mod,2021-11-27,13:26:26,004074,A,RJ,,,,2225869,,1,2021-11-27,POINT (74.37899780273438 29.62199974060059)
29.617,74.37,314.8,1.5,1.2,56.0,11.1,mod,2021-11-27,13:26:26,004074,A,RJ,,,,2225870,,1,2021-11-27,POINT (74.37000274658203 29.61700057983398)
26.823,83.665,312.8,1.3,1.1,64.0,8.8,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225681,,1,2021-11-27,POINT (83.66500091552734 26.82299995422363)
27.913,78.928,310.1,1.0,1.0,57.0,6.6,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225658,,1,2021-11-27,POINT (78.92800140380859 27.91300010681152)
28.096,79.789,311.5,1.0,1.0,63.0,5.8,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225657,,1,2021-11-27,POINT (79.78900146484375 28.09600067138672)
27.954,79.889,307.8,1.0,1.0,50.0,4.0,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225659,,1,2021-11-27,POINT (79.88899993896484 27.95400047302246)
26.043,83.017,311.7,1.2,1.1,61.0,7.5,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225719,,1,2021-11-27,POINT (83.01699829101562 26.04299926757812)
26.04,83.012,309.4,1.2,1.1,54.0,5.0,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225720,,1,2021-11-27,POINT (83.01200103759766 26.04000091552734)
28.095,79.779,320.8,1.0,1.0,77.0,13.6,mod,2021-11-27,13:26:26,004074,A,UP,,,,2225656,,1,2021-11-27,POINT (79.77899932861328 28.09499931335449)
