lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
29.688,77.211,315.9,1.1,1.0,76.0,13.5,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776323,,,,POINT (77.21099853515625 29.6879997253418)
27.493,81.759,314.3,1.1,1.0,67.0,9.4,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776477,,,,POINT (81.75900268554688 27.49300003051758)
27.848,81.164,314.6,1.1,1.0,67.0,7.6,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776479,,,,POINT (81.16400146484375 27.84799957275391)
28.959,79.025,311.9,1.0,1.0,69.0,6.1,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776491,,,,POINT (79.02500152587891 28.95899963378906)
28.924,75.866,325.4,1.3,1.1,37.0,24.2,mod,2025-02-25,14:23:01,021366,A,HR,,,,3776317,,,,POINT (75.86599731445312 28.92399978637695)
27.85,80.307,314.5,1.0,1.0,66.0,7.9,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776480,,,,POINT (80.30699920654297 27.85000038146973)
28.586,78.886,307.3,1.0,1.0,55.0,4.2,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776489,,,,POINT (78.88600158691406 28.58600044250488)
26.097,80.712,314.7,1.0,1.0,69.0,7.4,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776472,,,,POINT (80.71199798583984 26.09700012207031)
27.271,81.058,312.9,1.0,1.0,57.0,5.9,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776476,,,,POINT (81.05799865722656 27.27099990844727)
28.608,80.452,309.1,1.0,1.0,60.0,3.9,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776487,,,,POINT (80.45200347900391 28.60799980163574)
28.607,80.442,315.5,1.0,1.0,72.0,9.1,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776488,,,,POINT (80.44200134277344 28.60700035095215)
28.141,81.014,327.2,1.1,1.0,82.0,20.6,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776483,,,,POINT (81.01399993896484 28.14100074768066)
25.816,82.163,314.4,1.1,1.0,66.0,8.3,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776470,,,,POINT (82.16300201416016 25.81599998474121)
27.998,80.833,312.3,1.0,1.0,61.0,5.4,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776482,,,,POINT (80.83300018310547 27.99799919128418)
28.257,80.581,315.4,1.0,1.0,71.0,8.4,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776484,,,,POINT (80.58100128173828 28.25699996948242)
28.96,79.035,313.5,1.0,1.0,72.0,7.3,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776490,,,,POINT (79.03500366210938 28.95999908447266)
28.943,75.862,318.7,1.3,1.1,45.0,16.8,mod,2025-02-25,14:23:01,021366,A,HR,,,,3776318,,,,POINT (75.86199951171875 28.94300079345703)
28.448,80.493,314.4,1.0,1.0,69.0,6.0,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776485,,,,POINT (80.49299621582031 28.44799995422363)
27.516,80.494,309.6,1.0,1.0,54.0,4.0,mod,2025-02-25,14:23:01,021366,A,UP,,,,3776478,,,,POINT (80.49400329589844 27.51600074768066)
24.66097,74.63319,295.6,0.6,0.7,8.0,1.9,npp,2025-02-25,03:08:38,069071,VF375,RJ,,,,3775829,,,,POINT (74.63318634033203 24.66097068786621)
25.15458,76.17979,301.8,0.7,0.8,8.0,1.8,npp,2025-02-25,03:08:38,069071,VF375,RJ,,,,3775828,,,,POINT (76.17978668212891 25.15457916259766)
24.81833,73.09518,296.2,0.5,0.7,8.0,1.1,npp,2025-02-25,03:08:38,069071,VF375,RJ,,,,3775830,,,,POINT (73.09517669677734 24.81833076477051)
28.76096,77.30898,304.6,0.3,0.6,8.0,0.7,npp,2025-02-25,01:29:04,069070,VF375,UP,,,,3775220,,,,POINT (77.30898284912109 28.76095962524414)
28.67277,77.60783,299.6,0.3,0.6,8.0,0.5,npp,2025-02-25,01:29:04,069070,VF375,UP,,,,3775225,,,,POINT (77.60782623291016 28.67276954650879)
