lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
31.8,75.06,321.3,1.2,1.1,57.0,8.3,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374135,,1,2026-05-08,POINT (75.05999755859375 31.79999923706055)
31.991,75.039,324.6,1.2,1.1,66.0,14.0,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374152,,1,2026-05-08,POINT (75.03900146484375 31.99099922180176)
24.92,76.173,336.3,1.1,1.0,61.0,17.4,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373874,,1,2026-05-08,POINT (76.17299652099609 24.92000007629395)
25.317,75.982,331.8,1.1,1.0,70.0,10.9,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373913,,1,2026-05-08,POINT (75.98200225830078 25.3169994354248)
31.146,76.073,319.7,1.3,1.1,57.0,9.9,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374083,,1,2026-05-08,POINT (76.072998046875 31.14599990844727)
30.241,76.521,324.8,1.3,1.1,67.0,13.9,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373963,,1,2026-05-08,POINT (76.52100372314453 30.24099922180176)
30.256,75.217,331.1,1.1,1.1,75.0,16.6,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373990,,1,2026-05-08,POINT (75.21700286865234 30.25600051879883)
30.493,74.836,324.9,1.1,1.0,62.0,9.2,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374032,,1,2026-05-08,POINT (74.83599853515625 30.49300003051758)
25.249,76.37,330.6,1.1,1.1,61.0,11.1,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373910,,1,2026-05-08,POINT (76.37000274658203 25.24900054931641)
30.896,75.266,321.8,1.2,1.1,62.0,7.0,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374073,,1,2026-05-08,POINT (75.26599884033203 30.89599990844727)
30.442,76.41,321.7,1.3,1.1,58.0,8.8,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373995,,1,2026-05-08,POINT (76.41000366210938 30.4419994354248)
29.461,74.49,327.9,1.1,1.0,56.0,7.2,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373935,,1,2026-05-08,POINT (74.48999786376953 29.46100044250488)
23.73,74.228,335.2,1.0,1.0,74.0,15.3,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373904,,1,2026-05-08,POINT (74.22799682617188 23.72999954223633)
25.438,75.912,336.2,1.1,1.0,79.0,19.7,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373916,,1,2026-05-08,POINT (75.91200256347656 25.4379997253418)
29.286,75.979,335.7,1.2,1.1,81.0,27.6,mod,2026-05-08,15:38:17,027746,A,HR,,,,4373929,,1,2026-05-08,POINT (75.97899627685547 29.2859992980957)
29.515,74.218,332.8,1.0,1.0,72.0,13.2,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373943,,1,2026-05-08,POINT (74.21800231933594 29.51499938964844)
29.586,74.602,335.2,1.1,1.0,77.0,18.7,mod,2026-05-08,15:38:17,027746,A,HR,,,,4373948,,1,2026-05-08,POINT (74.60199737548828 29.58600044250488)
29.972,75.731,325.6,1.2,1.1,63.0,10.0,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373956,,1,2026-05-08,POINT (75.73100280761719 29.97200012207031)
30.974,74.997,328.2,1.1,1.1,76.0,13.4,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374078,,1,2026-05-08,POINT (74.99700164794922 30.97400093078613)
29.106,76.848,329.6,1.3,1.1,75.0,21.6,mod,2026-05-08,15:38:17,027746,A,HR,,,,4373926,,1,2026-05-08,POINT (76.84799957275391 29.10600090026855)
30.803,74.946,325.9,1.1,1.1,70.0,9.2,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374067,,1,2026-05-08,POINT (74.94599914550781 30.80299949645996)
31.024,74.671,330.7,1.1,1.0,79.0,16.0,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374095,,1,2026-05-08,POINT (74.67099761962891 31.02400016784668)
31.734,74.957,329.6,1.1,1.1,79.0,18.5,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374130,,1,2026-05-08,POINT (74.95700073242188 31.73399925231934)
25.308,75.983,334.0,1.1,1.0,75.0,14.5,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373912,,1,2026-05-08,POINT (75.98300170898438 25.3080005645752)
29.542,74.214,336.4,1.0,1.0,78.0,19.6,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373950,,1,2026-05-08,POINT (74.21399688720703 29.54199981689453)
31.732,75.09,321.7,1.2,1.1,42.0,8.4,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374127,,1,2026-05-08,POINT (75.08999633789062 31.73200035095215)
31.745,74.967,342.2,1.1,1.1,90.0,41.7,mod,2026-05-08,15:38:17,027746,A,PB,,,,4374131,,1,2026-05-08,POINT (74.96700286865234 31.7450008392334)
25.076,82.034,324.2,2.7,1.6,65.0,32.5,mod,2026-05-08,15:38:17,027746,A,UP,,,,4373905,,1,2026-05-08,POINT (82.03399658203125 25.07600021362305)
25.254,76.413,331.0,1.1,1.1,69.0,10.7,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373909,,1,2026-05-08,POINT (76.41300201416016 25.25399971008301)
25.281,72.969,334.3,1.0,1.0,71.0,12.8,mod,2026-05-08,15:38:17,027746,A,RJ,,,,4373922,,1,2026-05-08,POINT (72.96900177001953 25.2810001373291)
29.625,75.253,328.5,1.1,1.1,66.0,11.7,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373940,,1,2026-05-08,POINT (75.25299835205078 29.625)
30.016,74.922,331.0,1.1,1.0,71.0,15.5,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373961,,1,2026-05-08,POINT (74.9219970703125 30.01600074768066)
30.215,75.173,324.9,1.1,1.1,46.0,6.9,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373981,,1,2026-05-08,POINT (75.17299652099609 30.21500015258789)
30.062,74.029,327.4,1.0,1.0,65.0,11.2,mod,2026-05-08,15:38:17,027746,A,PB,,,,4373982,,1,2026-05-08,POINT (74.02899932861328 30.0620002746582)
