lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
25.985,81.61,323.1,1.1,1.0,55.0,7.7,mod,2023-04-03,13:M3:36,011245,A,UP,,,,2924888,,1,2023-04-03,POINT (81.61000061035156 25.98500061035156)
25.807,84.543,338.9,1.0,1.0,86.0,29.0,mod,2023-04-03,13:M3:36,011245,A,UP,,,,2924887,,1,2023-04-03,POINT (84.54299926757812 25.80699920654297)
26.358,81.932,328.8,1.0,1.0,75.0,13.8,mod,2023-04-03,13:M3:36,011245,A,UP,,,,2924890,,1,2023-04-03,POINT (81.93199920654297 26.35799980163574)
25.808,84.553,323.8,1.0,1.0,23.0,8.8,mod,2023-04-03,13:M3:36,011245,A,UP,,,,2924886,,1,2023-04-03,POINT (84.55300140380859 25.8080005645752)
26.53,82.034,324.1,1.0,1.0,67.0,11.8,mod,2023-04-03,13:M3:36,011245,A,UP,,,,2924894,,1,2023-04-03,POINT (82.03399658203125 26.53000068664551)
23.45535,74.30443,333.0,0.5,0.7,8.0,3.5,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925752,,1,2023-04-03,POINT (74.30442810058594 23.45535087585449)
23.46524,74.31092,345.0,0.5,0.7,8.0,3.6,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925751,,1,2023-04-03,POINT (74.31092071533203 23.46524047851562)
23.44156,74.30809,308.1,0.6,0.5,8.0,1.7,npp,2023-04-03,01:M3:42,059224,VF375,RJ,,,,2924068,,1,2023-04-03,POINT (74.30809020996094 23.44156074523926)
26.85104,83.05071,337.9,0.4,0.4,8.0,4.5,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925781,,1,2023-04-03,POINT (83.05071258544922 26.85103988647461)
25.9904,81.61566,331.8,0.5,0.4,7.0,2.1,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925769,,1,2023-04-03,POINT (81.61566162109375 25.99040031433105)
25.93295,75.01158,330.4,0.4,0.6,7.0,0.8,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2924897,,1,2023-04-03,POINT (75.01158142089844 25.93294906616211)
24.86189,73.79939,348.1,0.5,0.7,8.0,6.1,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925780,,1,2023-04-03,POINT (73.79939270019531 24.86189079284668)
29.65076,77.12711,331.9,0.5,0.5,8.0,4.8,npp,2023-04-03,12:M3:59,059231,VF375,HR,,,,2925787,,1,2023-04-03,POINT (77.12711334228516 29.65076065063477)
24.71044,83.385,336.9,0.5,0.4,7.0,3.9,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925703,,1,2023-04-03,POINT (83.38500213623047 24.71043968200684)
27.1921,82.64387,332.4,0.5,0.4,8.0,1.9,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925783,,1,2023-04-03,POINT (82.64386749267578 27.19210052490234)
24.70933,83.38885,338.0,0.5,0.4,8.0,6.2,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925702,,1,2023-04-03,POINT (83.38884735107422 24.70932960510254)
26.26741,74.18842,307.9,0.3,0.6,8.0,1.8,npp,2023-04-03,01:M3:42,059224,VF375,RJ,,,,2923882,,1,2023-04-03,POINT (74.18842315673828 26.26741027832031)
23.46271,74.30787,333.2,0.5,0.7,8.0,5.2,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925755,,1,2023-04-03,POINT (74.30786895751953 23.46270942687988)
23.59133,74.41019,345.5,0.5,0.7,8.0,6.2,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925758,,1,2023-04-03,POINT (74.41018676757812 23.59132957458496)
25.8088,84.54879,367.0,0.4,0.4,9.0,22.1,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925762,,1,2023-04-03,POINT (84.54878997802734 25.80879974365234)
26.31074,83.72083,340.7,0.4,0.4,8.0,3.7,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925768,,1,2023-04-03,POINT (83.72083282470703 26.31073951721191)
23.46398,74.31303,336.2,0.5,0.7,8.0,5.2,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925754,,1,2023-04-03,POINT (74.31302642822266 23.46397972106934)
24.86466,73.80212,336.6,0.5,0.7,8.0,4.1,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925779,,1,2023-04-03,POINT (73.80211639404297 24.86466026306152)
27.89061,80.27377,308.5,0.5,0.4,8.0,1.3,npp,2023-04-03,01:M3:42,059224,VF375,UP,,,,2923878,,1,2023-04-03,POINT (80.27377319335938 27.89060974121094)
29.46054,76.88821,331.1,0.5,0.5,8.0,5.1,npp,2023-04-03,01:M3:42,059224,VF375,HR,,,,2923874,,1,2023-04-03,POINT (76.88820648193359 29.46054077148438)
25.09445,77.00143,333.4,0.3,0.6,8.0,4.8,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925771,,1,2023-04-03,POINT (77.00142669677734 25.09444999694824)
24.44828,83.04034,303.1,0.4,0.4,8.0,0.7,npp,2023-04-03,01:M3:42,059224,VF375,UP,,,,2923886,,1,2023-04-03,POINT (83.04033660888672 24.44828033447266)
24.12502,74.57555,346.4,0.6,0.7,8.0,5.7,npp,2023-04-03,14:M3:16,059232,VF375,RJ,,,,2926061,,1,2023-04-03,POINT (74.57554626464844 24.12501907348633)
25.67847,74.33172,330.2,0.5,0.7,7.0,1.5,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2924896,,1,2023-04-03,POINT (74.33171844482422 25.67847061157227)
26.76081,83.19988,304.8,0.4,0.4,8.0,0.9,npp,2023-04-03,01:M3:42,059224,VF375,UP,,,,2923881,,1,2023-04-03,POINT (83.19988250732422 26.76081085205078)
23.46163,74.32298,334.2,0.5,0.7,8.0,4.0,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925750,,1,2023-04-03,POINT (74.32298278808594 23.46162986755371)
23.59081,74.40832,338.4,0.5,0.7,8.0,3.3,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925757,,1,2023-04-03,POINT (74.40831756591797 23.59081077575684)
26.6329,84.22482,303.1,0.4,0.4,8.0,0.6,npp,2023-04-03,01:M3:42,059224,VF375,UP,,,,2923880,,1,2023-04-03,POINT (84.22482299804688 26.63290023803711)
27.33846,81.13599,343.6,0.5,0.4,8.0,16.1,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2924898,,1,2023-04-03,POINT (81.135986328125 27.33846092224121)
28.11743,76.79973,299.0,0.5,0.5,8.0,0.5,npp,2023-04-03,01:M3:42,059224,VF375,RJ,,,,2923879,,1,2023-04-03,POINT (76.79972839355469 28.11742973327637)
29.39485,77.9954,330.7,0.5,0.5,8.0,6.3,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925784,,1,2023-04-03,POINT (77.99539947509766 29.39484977722168)
23.43355,74.31443,332.4,0.5,0.7,7.0,3.8,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925749,,1,2023-04-03,POINT (74.31443023681641 23.43354988098145)
23.45171,74.29644,367.0,0.6,0.7,9.0,18.5,npp,2023-04-03,14:M3:16,059232,VF375,RJ,,,,2926049,,1,2023-04-03,POINT (74.29644012451172 23.45170974731445)
26.46183,81.7636,341.6,0.5,0.4,8.0,7.5,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925777,,1,2023-04-03,POINT (81.76360321044922 26.46183013916016)
26.62541,84.39967,337.5,0.4,0.4,8.0,3.9,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925774,,1,2023-04-03,POINT (84.39967346191406 26.62541007995605)
26.36117,81.93508,340.7,0.5,0.4,8.0,4.3,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925776,,1,2023-04-03,POINT (81.93508148193359 26.36116981506348)
26.62878,84.39899,337.6,0.4,0.4,8.0,3.9,npp,2023-04-03,12:M3:59,059231,VF375,UP,,,,2925775,,1,2023-04-03,POINT (84.39898681640625 26.62878036499023)
23.46524,74.31818,333.3,0.5,0.7,8.0,6.5,npp,2023-04-03,12:M3:59,059231,VF375,RJ,,,,2925753,,1,2023-04-03,POINT (74.31817626953125 23.46524047851562)
29.47689,76.85722,341.1,0.6,0.5,8.0,5.6,npp,2023-04-03,12:M3:59,059231,VF375,HR,,,,2925785,1.0,1,2023-04-03,POINT (76.85722351074219 29.47689056396484)
30.5166,77.19962,296.8,0.5,0.5,8.0,0.7,npp,2023-04-03,01:M3:42,059224,VF375,HR,,,,2923873,1.0,1,2023-04-03,POINT (77.19962310791016 30.51659965515137)
28.33355,77.18293,303.1,0.5,0.5,8.0,0.7,npp,2023-04-03,01:M3:42,059224,VF375,HR,,,,2923877,1.0,1,2023-04-03,POINT (77.18292999267578 28.33354949951172)
