lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
27.445,80.505,311.1,1.1,1.0,52.0,5.6,mod,2022-11-02,10:49:06,021668,T,UP,,,,2607073,,1,2022-11-02,POINT (80.50499725341797 27.44499969482422)
27.443,80.515,315.4,1.1,1.0,66.0,9.4,mod,2022-11-02,10:49:06,021668,T,UP,,,,2607074,,1,2022-11-02,POINT (80.51499938964844 27.44300079345703)
25.055,75.991,319.8,1.1,1.0,64.0,7.1,mod,2022-11-02,10:49:06,021668,T,RJ,,,,2607089,,1,2022-11-02,POINT (75.99099731445312 25.05500030517578)
25.242,76.001,321.9,1.0,1.0,50.0,8.8,mod,2022-11-02,13:52:04,009031,A,RJ,,,,2607207,,1,2022-11-02,POINT (76.00099945068359 25.24200057983398)
25.36,75.787,322.2,1.0,1.0,42.0,7.4,mod,2022-11-02,13:52:04,009031,A,RJ,,,,2607213,,1,2022-11-02,POINT (75.78700256347656 25.36000061035156)
26.404,80.182,313.1,1.6,1.2,30.0,8.8,mod,2022-11-02,13:52:04,009031,A,UP,,,,2607246,,1,2022-11-02,POINT (80.18199920654297 26.40399932861328)
27.381,72.323,352.4,1.1,1.1,95.0,64.0,mod,2022-11-02,13:52:04,009031,A,RJ,,,,2607253,,1,2022-11-02,POINT (72.322998046875 27.38100051879883)
28.911,79.251,317.5,1.5,1.2,71.0,15.0,mod,2022-11-02,13:52:04,009031,A,UP,,,,2607269,,1,2022-11-02,POINT (79.25099945068359 28.9109992980957)
28.914,79.244,320.0,1.5,1.2,75.0,20.1,mod,2022-11-02,13:52:04,009031,A,UP,,,,2607270,,1,2022-11-02,POINT (79.24400329589844 28.91399955749512)
27.051,78.637,322.6,1.3,1.1,67.0,12.0,mod,2022-11-02,13:52:04,009031,A,UP,,,,2607380,,1,2022-11-02,POINT (78.63700103759766 27.05100059509277)
26.876,72.063,364.2,1.2,1.1,94.0,104.3,mod,2022-11-02,13:52:04,009031,A,RJ,,,,2607383,,1,2022-11-02,POINT (72.06300354003906 26.87599945068359)
