lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
29.422,75.627,333.9,1.0,1.0,67.0,10.9,mod,2025-05-17,14:45:21,022549,A,HR,,,,3996578,,1,2025-05-17,POINT (75.62699890136719 29.42200088500977)
31.788,74.614,328.9,1.0,1.0,52.0,6.6,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996712,,1,2025-05-17,POINT (74.61399841308594 31.78800010681152)
29.448,76.329,332.6,1.0,1.0,69.0,9.4,mod,2025-05-17,14:45:21,022549,A,HR,,,,3996577,,1,2025-05-17,POINT (76.32900238037109 29.44799995422363)
31.332,74.717,330.4,1.0,1.0,62.0,7.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996671,,1,2025-05-17,POINT (74.71700286865234 31.33200073242188)
30.376,74.834,337.6,1.0,1.0,75.0,13.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996604,,1,2025-05-17,POINT (74.83399963378906 30.37599945068359)
28.852,79.554,339.7,1.3,1.1,86.0,38.1,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996568,,1,2025-05-17,POINT (79.55400085449219 28.85199928283691)
30.955,74.735,332.5,1.0,1.0,60.0,8.5,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996646,,1,2025-05-17,POINT (74.73500061035156 30.95499992370605)
31.004,75.703,335.7,1.0,1.0,68.0,15.8,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996636,,1,2025-05-17,POINT (75.7030029296875 31.00399971008301)
29.598,74.342,332.1,1.0,1.0,58.0,9.6,mod,2025-05-17,14:45:21,022549,A,RJ,,,,3996586,,1,2025-05-17,POINT (74.34200286865234 29.59799957275391)
30.592,76.463,335.5,1.0,1.0,66.0,11.1,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996597,,1,2025-05-17,POINT (76.46299743652344 30.59199905395508)
30.813,76.382,334.5,1.0,1.0,78.0,14.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996626,,1,2025-05-17,POINT (76.38200378417969 30.8129997253418)
30.826,76.411,332.5,1.0,1.0,75.0,12.4,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996627,,1,2025-05-17,POINT (76.41100311279297 30.82600021362305)
31.15,75.763,332.3,1.0,1.0,73.0,10.8,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996651,,1,2025-05-17,POINT (75.76300048828125 31.14999961853027)
31.315,74.863,330.2,1.0,1.0,63.0,8.5,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996666,,1,2025-05-17,POINT (74.86299896240234 31.31500053405762)
31.688,74.566,331.5,1.0,1.0,66.0,9.4,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996705,,1,2025-05-17,POINT (74.56600189208984 31.6879997253418)
25.443,75.934,340.9,1.0,1.0,22.0,20.0,mod,2025-05-17,14:45:21,022549,A,RJ,,,,3996555,,1,2025-05-17,POINT (75.93399810791016 25.44300079345703)
28.312,80.166,334.8,1.4,1.2,80.0,25.2,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996566,,1,2025-05-17,POINT (80.16600036621094 28.3120002746582)
32.076,75.26,340.8,1.0,1.0,84.0,24.6,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996740,,1,2025-05-17,POINT (75.26000213623047 32.07600021362305)
31.567,75.056,328.9,1.0,1.0,60.0,8.2,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996693,,1,2025-05-17,POINT (75.05599975585938 31.5669994354248)
28.932,76.472,343.6,1.0,1.0,71.0,31.5,mod,2025-05-17,14:45:21,022549,A,HR,,,,3996571,,1,2025-05-17,POINT (76.47200012207031 28.93199920654297)
31.828,74.584,337.7,1.0,1.0,79.0,20.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996718,,1,2025-05-17,POINT (74.58399963378906 31.82799911499023)
32.273,75.41,334.1,1.0,1.0,77.0,13.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996772,,1,2025-05-17,POINT (75.41000366210938 32.27299880981445)
26.696,80.197,333.1,1.4,1.2,72.0,21.5,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996558,,1,2025-05-17,POINT (80.19699859619141 26.69599914550781)
28.043,79.943,334.7,1.4,1.2,78.0,23.2,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996564,,1,2025-05-17,POINT (79.94300079345703 28.04299926757812)
31.062,75.671,349.6,1.0,1.0,93.0,38.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996642,,1,2025-05-17,POINT (75.67099761962891 31.0620002746582)
29.484,74.094,336.1,1.0,1.0,72.0,14.0,mod,2025-05-17,14:45:21,022549,A,RJ,,,,3996585,,1,2025-05-17,POINT (74.09400177001953 29.48399925231934)
30.924,74.727,333.9,1.0,1.0,69.0,9.4,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996643,,1,2025-05-17,POINT (74.72699737548828 30.92399978637695)
31.033,75.075,332.6,1.0,1.0,71.0,9.7,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996649,,1,2025-05-17,POINT (75.07499694824219 31.03300094604492)
31.606,74.579,335.3,1.0,1.0,75.0,13.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996700,,1,2025-05-17,POINT (74.57900238037109 31.60600090026855)
31.034,75.085,346.7,1.0,1.0,90.0,32.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996648,,1,2025-05-17,POINT (75.08499908447266 31.03400039672852)
31.185,75.032,329.8,1.0,1.0,56.0,10.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996659,,1,2025-05-17,POINT (75.03199768066406 31.18499946594238)
31.399,74.924,330.7,1.0,1.0,64.0,9.0,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996676,,1,2025-05-17,POINT (74.92400360107422 31.39900016784668)
26.698,80.21,331.2,1.4,1.2,66.0,17.4,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996557,,1,2025-05-17,POINT (80.20999908447266 26.69799995422363)
26.697,80.204,330.8,1.4,1.2,66.0,15.3,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996559,,1,2025-05-17,POINT (80.20400238037109 26.69700050354004)
27.852,80.322,328.4,1.4,1.2,66.0,13.8,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996563,,1,2025-05-17,POINT (80.32199859619141 27.85199928283691)
29.486,74.104,332.7,1.0,1.0,61.0,8.6,mod,2025-05-17,14:45:21,022549,A,RJ,,,,3996584,,1,2025-05-17,POINT (74.10399627685547 29.48600006103516)
29.863,75.48,335.5,1.0,1.0,72.0,12.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996587,,1,2025-05-17,POINT (75.48000335693359 29.86300086975098)
30.536,74.181,337.0,1.0,1.0,77.0,13.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996631,,1,2025-05-17,POINT (74.18099975585938 30.5359992980957)
25.191,76.169,338.2,1.0,1.0,48.0,12.7,mod,2025-05-17,14:45:21,022549,A,RJ,,,,3996553,,1,2025-05-17,POINT (76.16899871826172 25.19099998474121)
27.065,80.043,330.5,1.3,1.1,64.0,14.5,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996561,,1,2025-05-17,POINT (80.04299926757812 27.06500053405762)
29.234,76.123,330.4,1.0,1.0,61.0,7.9,mod,2025-05-17,14:45:21,022549,A,HR,,,,3996573,,1,2025-05-17,POINT (76.12300109863281 29.23399925231934)
24.647,78.643,340.0,1.1,1.0,80.0,18.6,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996552,,1,2025-05-17,POINT (78.64299774169922 24.64699935913086)
26.243,79.395,331.0,1.2,1.1,63.0,14.5,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996556,,1,2025-05-17,POINT (79.39499664306641 26.24300003051758)
27.236,80.37,339.1,1.4,1.2,83.0,33.2,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996562,,1,2025-05-17,POINT (80.37000274658203 27.23600006103516)
30.386,74.842,341.1,1.0,1.0,80.0,18.2,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996606,,1,2025-05-17,POINT (74.84200286865234 30.38599967956543)
29.342,76.569,334.6,1.0,1.0,64.0,14.5,mod,2025-05-17,14:45:21,022549,A,HR,,,,3996575,,1,2025-05-17,POINT (76.56900024414062 29.34199905395508)
26.707,80.202,345.1,1.4,1.2,89.0,50.4,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996560,,1,2025-05-17,POINT (80.20200347900391 26.70700073242188)
28.314,80.18,329.2,1.4,1.2,68.0,13.7,mod,2025-05-17,14:45:21,022549,A,UP,,,,3996565,,1,2025-05-17,POINT (80.18000030517578 28.31399917602539)
31.44,75.731,330.2,1.0,1.0,71.0,10.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996665,,1,2025-05-17,POINT (75.73100280761719 31.44000053405762)
30.407,76.266,330.9,1.0,1.0,56.0,6.6,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996537,1.0,1,2025-05-17,POINT (76.26599884033203 30.4069995880127)
30.571,76.445,336.7,1.0,1.0,72.0,12.5,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996595,1.0,1,2025-05-17,POINT (76.44499969482422 30.57099914550781)
30.583,76.465,345.7,1.0,1.0,90.0,28.8,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996596,1.0,1,2025-05-17,POINT (76.46499633789062 30.58300018310547)
30.436,75.362,333.4,1.0,1.0,38.0,8.7,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996598,1.0,1,2025-05-17,POINT (75.36199951171875 30.43600082397461)
30.384,74.832,337.0,1.0,1.0,74.0,12.7,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996607,1.0,1,2025-05-17,POINT (74.83200073242188 30.38400077819824)
30.87,74.549,338.1,1.0,1.0,79.0,16.7,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996641,1.0,1,2025-05-17,POINT (74.54900360107422 30.8700008392334)
31.244,75.009,330.6,1.0,1.0,67.0,10.2,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996660,1.0,1,2025-05-17,POINT (75.00900268554688 31.24399948120117)
31.163,75.982,331.2,1.0,1.0,72.0,8.6,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996647,1.0,1,2025-05-17,POINT (75.98200225830078 31.16300010681152)
31.18,75.583,339.4,1.0,1.0,84.0,20.2,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996657,1.0,1,2025-05-17,POINT (75.58300018310547 31.18000030517578)
32.049,75.075,342.2,1.0,1.0,86.0,25.8,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996742,1.0,1,2025-05-17,POINT (75.07499694824219 32.04899978637695)
29.621,75.097,336.1,1.0,1.0,72.0,14.4,mod,2025-05-17,14:45:21,022549,A,HR,,,,3996583,1.0,1,2025-05-17,POINT (75.09700012207031 29.62100028991699)
30.424,76.109,333.1,1.0,1.0,70.0,10.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996588,1.0,1,2025-05-17,POINT (76.10900115966797 30.42399978637695)
30.22,74.356,333.4,1.0,1.0,64.0,9.2,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996592,1.0,1,2025-05-17,POINT (74.35600280761719 30.21999931335449)
30.742,76.476,331.4,1.0,1.0,73.0,10.4,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996614,1.0,1,2025-05-17,POINT (76.47599792480469 30.74200057983398)
30.7,76.039,332.2,1.0,1.0,70.0,8.5,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996615,1.0,1,2025-05-17,POINT (76.03900146484375 30.70000076293945)
31.155,75.667,332.8,1.0,1.0,74.0,10.5,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996653,1.0,1,2025-05-17,POINT (75.66699981689453 31.15500068664551)
31.182,75.594,337.5,1.0,1.0,82.0,17.3,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996656,1.0,1,2025-05-17,POINT (75.59400177001953 31.18199920654297)
31.464,74.747,330.4,1.0,1.0,60.0,7.8,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996687,1.0,1,2025-05-17,POINT (74.74700164794922 31.4640007019043)
31.464,74.684,334.7,1.0,1.0,71.0,10.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996688,1.0,1,2025-05-17,POINT (74.68399810791016 31.4640007019043)
30.667,75.429,345.5,1.0,1.0,87.0,30.9,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996625,1.0,1,2025-05-17,POINT (75.42900085449219 30.66699981689453)
30.902,75.003,333.2,1.0,1.0,67.0,6.1,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996637,1.0,1,2025-05-17,POINT (75.00299835205078 30.90200042724609)
31.783,75.021,348.7,1.0,1.0,92.0,37.7,mod,2025-05-17,14:45:21,022549,A,PB,,,,3996708,1.0,1,2025-05-17,POINT (75.02100372314453 31.78300094604492)
