lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
28.47,80.426,302.3,2.7,1.6,52.0,14.2,mod,2023-12-28,14:19:17,015166,A,UP,,,,3232620,,1,2023-12-28,POINT (80.42600250244141 28.46999931335449)
28.465,80.431,303.6,2.7,1.6,57.0,17.7,mod,2023-12-28,14:19:17,015166,A,UP,,,,3232619,,1,2023-12-28,POINT (80.43099975585938 28.46500015258789)
26.25898,74.09466,298.5,0.5,0.4,8.0,1.0,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232139,,1,2023-12-28,POINT (74.09465789794922 26.25897979736328)
27.55434,82.18611,337.2,0.4,0.6,8.0,2.3,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233106,,1,2023-12-28,POINT (82.18611145019531 27.55434036254883)
26.0215,74.47186,336.2,0.4,0.4,8.0,2.7,npp,2023-12-28,13:47:18,063048,VF375,RJ,,,,3233102,,1,2023-12-28,POINT (74.47186279296875 26.02149963378906)
29.64594,77.49655,339.0,0.4,0.5,8.0,7.9,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233117,,1,2023-12-28,POINT (77.49655151367188 29.64594078063965)
26.75953,83.20111,298.7,0.6,0.7,8.0,1.3,npp,2023-12-28,02:38:01,063041,VF375,UP,,,,3232131,,1,2023-12-28,POINT (83.20111083984375 26.75952911376953)
24.66074,74.63676,303.0,0.4,0.5,8.0,1.3,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232147,,1,2023-12-28,POINT (74.63675689697266 24.66073989868164)
26.87406,73.51849,303.3,0.5,0.4,8.0,1.6,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232137,,1,2023-12-28,POINT (73.51849365234375 26.87405967712402)
26.60502,73.68528,295.4,0.5,0.4,8.0,0.9,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232138,,1,2023-12-28,POINT (73.68527984619141 26.60502052307129)
24.93497,74.633,303.1,0.4,0.5,8.0,0.7,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232143,,1,2023-12-28,POINT (74.63300323486328 24.93497085571289)
26.75932,83.19743,299.9,0.4,0.6,8.0,1.1,npp,2023-12-28,00:57:44,063040,VF375,UP,,,,3231929,,1,2023-12-28,POINT (83.19743347167969 26.75931930541992)
24.71512,75.95374,297.8,0.5,0.5,8.0,1.0,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232142,,1,2023-12-28,POINT (75.95374298095703 24.71512031555176)
27.82401,73.22454,296.1,0.5,0.4,8.0,0.8,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232133,,1,2023-12-28,POINT (73.22454071044922 27.82401084899902)
24.66153,74.63277,307.4,0.4,0.5,8.0,1.3,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232146,,1,2023-12-28,POINT (74.63276672363281 24.66152954101562)
26.75904,83.20056,298.4,0.6,0.7,8.0,1.0,npp,2023-12-28,02:38:01,063041,VF375,UP,,,,3232130,,1,2023-12-28,POINT (83.2005615234375 26.75904083251953)
27.66869,76.12946,304.1,0.4,0.5,8.0,1.3,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232132,,1,2023-12-28,POINT (76.12946319580078 27.6686897277832)
27.07871,73.81934,298.0,0.5,0.4,8.0,0.6,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232134,,1,2023-12-28,POINT (73.81934356689453 27.07871055603027)
26.87866,73.51445,298.2,0.5,0.4,8.0,1.2,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232136,,1,2023-12-28,POINT (73.51445007324219 26.87866020202637)
24.69023,74.68127,299.7,0.4,0.5,8.0,0.9,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232145,,1,2023-12-28,POINT (74.68126678466797 24.69022941589355)
26.92541,73.4693,303.1,0.5,0.4,8.0,1.1,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232135,,1,2023-12-28,POINT (73.46929931640625 26.9254093170166)
24.69123,73.00272,302.3,0.5,0.4,8.0,1.6,npp,2023-12-28,02:38:01,063041,VF375,RJ,,,,3232149,,1,2023-12-28,POINT (73.00272369384766 24.69123077392578)
28.04015,80.92347,346.2,0.3,0.6,8.0,3.0,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233110,,1,2023-12-28,POINT (80.92346954345703 28.0401496887207)
26.19808,83.36343,326.9,0.4,0.6,8.0,2.1,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233100,,1,2023-12-28,POINT (83.36342620849609 26.19808006286621)
27.55401,82.18632,332.5,0.4,0.6,8.0,3.0,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233107,,1,2023-12-28,POINT (82.18631744384766 27.55401039123535)
28.28326,79.85252,332.0,0.6,0.5,8.0,5.2,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233111,,1,2023-12-28,POINT (79.85252380371094 28.28326034545898)
29.20647,77.7468,329.1,0.4,0.5,8.0,2.4,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233116,,1,2023-12-28,POINT (77.74680328369141 29.20647048950195)
27.64857,72.00531,335.4,0.4,0.4,8.0,1.7,npp,2023-12-28,13:47:18,063048,VF375,RJ,,,,3233112,,1,2023-12-28,POINT (72.00531005859375 27.64856910705566)
26.5577,71.8826,339.5,0.4,0.4,8.0,6.4,npp,2023-12-28,13:47:18,063048,VF375,RJ,,,,3233109,,1,2023-12-28,POINT (71.88259887695312 26.55769920349121)
28.85298,79.60352,335.8,0.6,0.5,8.0,3.4,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233113,,1,2023-12-28,POINT (79.60352325439453 28.85297966003418)
26.74526,82.47458,333.3,0.4,0.6,8.0,1.7,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3232686,,1,2023-12-28,POINT (82.47457885742188 26.74526023864746)
25.27745,83.45138,337.0,0.4,0.6,8.0,4.0,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233090,,1,2023-12-28,POINT (83.45137786865234 25.27745056152344)
29.15273,77.55106,325.7,0.4,0.5,8.0,2.3,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233115,,1,2023-12-28,POINT (77.55106353759766 29.15273094177246)
24.93726,74.6444,329.7,0.4,0.4,8.0,2.1,npp,2023-12-28,13:47:18,063048,VF375,RJ,,,,3233097,,1,2023-12-28,POINT (74.64440155029297 24.93725967407227)
26.71378,82.28005,367.0,0.4,0.6,9.0,6.0,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233101,,1,2023-12-28,POINT (82.28005218505859 26.71377944946289)
27.63251,81.84907,325.6,0.4,0.6,8.0,1.5,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233108,,1,2023-12-28,POINT (81.84906768798828 27.63250923156738)
28.94017,77.92632,327.1,0.4,0.5,8.0,2.2,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233114,,1,2023-12-28,POINT (77.92632293701172 28.94017028808594)
29.72903,73.4066,326.0,0.4,0.4,8.0,1.5,npp,2023-12-28,13:47:18,063048,VF375,RJ,,,,3233119,,1,2023-12-28,POINT (73.40660095214844 29.72903060913086)
27.03784,82.73508,328.2,0.4,0.6,8.0,1.9,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233104,,1,2023-12-28,POINT (82.73507690429688 27.03783988952637)
25.91696,84.35535,341.8,0.5,0.7,8.0,7.7,npp,2023-12-28,13:47:18,063048,VF375,UP,,,,3233096,,1,2023-12-28,POINT (84.3553466796875 25.91695976257324)
26.13092,73.56752,344.7,0.4,0.4,8.0,4.9,npp,2023-12-28,13:47:18,063048,VF375,RJ,,,,3233105,,1,2023-12-28,POINT (73.56752014160156 26.13092041015625)
