lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
26.38891,81.23229,300.7,0.5,0.5,8.0,0.6,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199834,,1,2023-11-30,POINT (81.23229217529297 26.3889102935791)
29.91264,74.94932,328.8,0.6,0.7,8.0,4.9,npp,2023-11-30,01:23:17,062643,VF375,PB,,,,3199814,,1,2023-11-30,POINT (74.94931793212891 29.91263961791992)
28.33467,80.22575,298.0,0.6,0.5,8.0,0.4,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199821,,1,2023-11-30,POINT (80.22575378417969 28.33466911315918)
29.90594,74.94881,316.0,0.6,0.7,8.0,4.9,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199818,,1,2023-11-30,POINT (74.94880676269531 29.90593910217285)
27.94674,80.13425,301.2,0.6,0.5,8.0,0.6,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199827,,1,2023-11-30,POINT (80.13424682617188 27.94673919677734)
26.51159,82.75786,309.7,0.4,0.5,8.0,1.0,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199832,,1,2023-11-30,POINT (82.75785827636719 26.51158905029297)
24.65907,74.63483,299.5,0.6,0.7,8.0,1.2,npp,2023-11-30,01:23:17,062643,VF375,RJ,,,,3199917,,1,2023-11-30,POINT (74.63482666015625 24.6590690612793)
29.45951,76.88744,295.6,0.5,0.7,8.0,1.4,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199820,,1,2023-11-30,POINT (76.88744354248047 29.45951080322266)
29.90626,74.94216,300.0,0.6,0.7,8.0,5.5,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199817,1.0,1,2023-11-30,POINT (74.94216156005859 29.90625953674316)
29.91296,74.94266,316.5,0.6,0.7,8.0,5.5,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199815,1.0,1,2023-11-30,POINT (74.94265747070312 29.91296005249023)
27.66344,78.27327,295.8,0.4,0.6,8.0,0.2,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199829,,1,2023-11-30,POINT (78.27326965332031 27.6634407043457)
26.76026,83.20081,307.9,0.6,0.4,8.0,2.2,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199831,,1,2023-11-30,POINT (83.20081329345703 26.7602596282959)
26.3431,81.80202,314.5,0.4,0.5,8.0,1.2,npp,2023-11-30,01:23:17,062643,VF375,UP,,,,3199833,,1,2023-11-30,POINT (81.80201721191406 26.34309959411621)
28.3486,77.23354,327.4,0.4,0.6,8.0,3.5,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199824,1.0,1,2023-11-30,POINT (77.23354339599609 28.34860038757324)
28.34771,77.23437,316.6,0.4,0.6,8.0,1.9,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199823,1.0,1,2023-11-30,POINT (77.23436737060547 28.34770965576172)
28.34802,77.22979,306.6,0.4,0.6,8.0,2.4,npp,2023-11-30,01:23:17,062643,VF375,HR,,,,3199822,1.0,1,2023-11-30,POINT (77.22978973388672 28.34802055358887)
