lat,lon,brightness,scanpixel_,trackpixel,detection_,radiative_,sat,acqdate,acqtime,orbitno,sensor,state,district,village_na,coverage_f,id,cropmask,mailsent,mailsent_t,geometry
31.043,76.192,312.2,1.1,1.1,59.0,5.7,mod,2020-10-31,0539,011008,T,PB,,,,112428,1.0,1,,POINT (76.19200134277344 31.04299926757812)
31.011,75.644,312.2,1.2,1.1,57.0,6.8,mod,2020-10-31,0539,011008,T,PB,,,,112429,1.0,1,,POINT (75.64399719238281 31.01099967956543)
30.938,76.215,312.8,1.1,1.1,60.0,5.9,mod,2020-10-31,0539,011008,T,PB,,,,112430,1.0,1,,POINT (76.21499633789062 30.9379997253418)
30.343,76.333,320.4,1.1,1.0,72.0,12.0,mod,2020-10-31,0539,011008,T,PB,,,,112472,1.0,1,,POINT (76.33300018310547 30.3430004119873)
30.325,76.33,328.4,1.1,1.0,81.0,21.2,mod,2020-10-31,0539,011008,T,PB,,,,112473,1.0,1,,POINT (76.33000183105469 30.32500076293945)
30.326,76.249,320.1,1.1,1.0,72.0,11.4,mod,2020-10-31,0539,011008,T,PB,,,,112474,1.0,1,,POINT (76.24900054931641 30.32600021362305)
30.324,76.261,316.4,1.1,1.0,65.0,7.4,mod,2020-10-31,0539,011008,T,PB,,,,112475,1.0,1,,POINT (76.26100158691406 30.32399940490723)
30.292,76.507,314.5,1.1,1.0,61.0,6.4,mod,2020-10-31,0539,011008,T,PB,,,,112476,1.0,1,,POINT (76.50700378417969 30.29199981689453)
30.291,76.518,314.8,1.1,1.0,62.0,6.4,mod,2020-10-31,0539,011008,T,PB,,,,112477,1.0,1,,POINT (76.51799774169922 30.29100036621094)
30.205,77.014,311.5,1.0,1.0,52.0,4.5,mod,2020-10-31,0539,011008,T,HR,,,,112478,1.0,1,,POINT (77.01399993896484 30.20499992370605)
30.298,76.123,313.9,1.1,1.1,60.0,6.2,mod,2020-10-31,0539,011008,T,PB,,,,112479,1.0,1,,POINT (76.12300109863281 30.29800033569336)
30.285,76.225,320.0,1.1,1.0,72.0,11.5,mod,2020-10-31,0539,011008,T,PB,,,,112480,1.0,1,,POINT (76.22499847412109 30.28499984741211)
30.277,76.281,319.0,1.1,1.0,71.0,11.2,mod,2020-10-31,0539,011008,T,PB,,,,112481,1.0,1,,POINT (76.28099822998047 30.27700042724609)
30.276,76.293,317.6,1.1,1.0,68.0,9.7,mod,2020-10-31,0539,011008,T,PB,,,,112482,1.0,1,,POINT (76.29299926757812 30.27599906921387)
30.316,75.913,318.3,1.1,1.1,70.0,11.7,mod,2020-10-31,0539,011008,T,PB,,,,112483,1.0,1,,POINT (75.91300201416016 30.31599998474121)
30.314,75.925,313.3,1.1,1.1,58.0,6.5,mod,2020-10-31,0539,011008,T,PB,,,,112484,1.0,1,,POINT (75.92500305175781 30.31399917602539)
30.283,76.167,344.8,1.1,1.0,93.0,50.7,mod,2020-10-31,0539,011008,T,PB,,,,112485,1.0,1,,POINT (76.16699981689453 30.28300094604492)
30.281,76.178,323.1,1.1,1.0,76.0,15.1,mod,2020-10-31,0539,011008,T,PB,,,,112486,1.0,1,,POINT (76.17800140380859 30.2810001373291)
30.363,75.218,320.9,1.2,1.1,73.0,16.7,mod,2020-10-31,0539,011008,T,PB,,,,112487,1.0,1,,POINT (75.21800231933594 30.36300086975098)
30.236,76.159,318.7,1.1,1.0,70.0,10.8,mod,2020-10-31,0539,011008,T,PB,,,,112488,1.0,1,,POINT (76.15899658203125 30.23600006103516)
